gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
ADPGK,0.006564591,1.71161E-06,0,0
ADPRH,0.005173211,1.23222E-06,0,0
ADPRHL1,0.009121963,3.28112E-06,0,0
ADPRHL2,0.005871141,1.43176E-06,0,0
ADPRM,0.002562838,3.163E-07,0,0
ADRA1A,0.011680933,3.95851E-06,0,0
ADRA1B,0.005641209,1.65586E-06,0,0
ADRA2A,0.005062351,1.50955E-06,0,0
ADRA2B,0.00943294,2.56816E-06,0,0
ADRB1,0.00560165,2.70995E-06,0,0
ADRB2,0.003877358,1.26556E-06,0,0
ADRBK1,0.004024207,2.7947E-07,0,0
ADRBK2,0.004450194,5.82126E-07,0,0
ADRM1,0.003908977,8.45707E-07,0,0
ADSL,0.004818857,1.06793E-06,0.001244786,2.67984E-07
ADSS,0.001666929,1.3925E-07,0,0
ADSSL1,0.016193635,6.34467E-06,0,0
ADTRP,0.004783997,1.31834E-06,0,0
AEBP1,0.020122818,5.36637E-06,0,0
AEN,0.007860649,2.06092E-06,0,0
AES,0.006003364,2.08588E-06,0,0
AF196779.12,0.002361846,3.43754E-07,0,0
AFAP1,0.015355016,4.90146E-06,0,0
AFAP1L1,0.015617833,4.17595E-06,0,0
AFAP1L2,0.014814288,3.91744E-06,0,0
AFF1,0.020199818,5.2495E-06,0,0
AFF2,0.010263202,2.76666E-06,0.001766834,1.4104E-06
AFF3,0.015808234,4.4506E-06,0,0
AFF4,0.008590197,1.23372E-06,0,0
AFG3L2,0.004842372,3.95285E-07,0.000008236,6.78317E-11
AFM,0.011641267,4.11247E-06,0,0
AFMID,0.007215244,1.43067E-06,0,0
AFP,0.01033101,3.12822E-06,0.000008286,6.86578E-11
AFTPH,0.011164859,3.37031E-06,0,0
AGA,0.004819002,1.36476E-06,0.001384614,8.69796E-07
AGAP1,0.020353189,7.38426E-06,0,0
AGAP2,0.011235899,3.03574E-06,0,0
AGAP3,0.01097431,2.29633E-06,0,0
AGAP6,0.019081275,6.5675E-06,0,0
AGBL1,0.020829548,4.86925E-06,0,0
AGBL2,0.012110441,2.8989E-06,0,0
AGBL5,0.011989324,2.3863E-06,0,0
AGER,0.00779901,1.36777E-06,0,0
AGFG1,0.005325632,7.91364E-07,0,0
AGFG2,0.009181083,2.60255E-06,0,0
AGGF1,0.010887728,3.11537E-06,0,0
AGK,0.006327981,1.15852E-06,0.000057998,1.03088E-09
AGL,0.020550176,5.70921E-06,0.000761548,4.67339E-08
AGMAT,0.005874594,1.1968E-06,0,0
AGMO,0.017811319,7.84751E-06,0,0
AGO1,0.003611021,1.37033E-06,0,0
AGO2,0.002104182,1.29995E-07,0,0
AGO3,0.002839568,4.11971E-07,0,0
AGO4,0.003628146,3.01158E-07,0,0
AGPAT1,0.001360455,3.16436E-07,0,0
AGPAT2,0.006728392,1.36861E-06,0.000767346,2.82746E-07
AGPAT3,0.002514115,4.50929E-07,0,0
AGPAT4,0.005544861,1.67309E-06,0,0
AGPAT5,0.008681354,1.4596E-06,0,0
AGPAT6,0.002960691,9.94913E-07,0,0
AGPAT9,0.004683573,7.08733E-07,0,0
AGPS,0.00465077,1.19929E-06,0,0
AGR2,0.002532518,4.50374E-07,0,0
AGR3,0.004198477,1.73075E-06,0,0
AGRN,0.054488285,1.54228E-05,0,0
AGRP,0.001532065,2.74002E-07,0,0
AGT,0.008334302,1.94098E-06,0.001772463,8.51478E-07
AGTPBP1,0.013974896,4.90584E-06,0,0
AGTR1,0.00466357,1.34884E-06,0.00001667,2.77889E-10
AGTR2,0.003450357,5.349E-07,0.00143741,9.07271E-07
AGTRAP,0.006070179,1.55906E-06,0,0
